tract,race,med_income
Census Tract 101; Barnstable County; Massachusetts,White,91447
Census Tract 102.06; Barnstable County; Massachusetts,White,97396
Census Tract 102.08; Barnstable County; Massachusetts,White,89243
Census Tract 103.04; Barnstable County; Massachusetts,White,68633
Census Tract 103.06; Barnstable County; Massachusetts,White,81078
Census Tract 104; Barnstable County; Massachusetts,White,78232
Census Tract 105; Barnstable County; Massachusetts,White,99403
Census Tract 106; Barnstable County; Massachusetts,White,75417
Census Tract 107; Barnstable County; Massachusetts,White,108984
Census Tract 108; Barnstable County; Massachusetts,White,95949
Census Tract 109; Barnstable County; Massachusetts,White,95784
Census Tract 110.02; Barnstable County; Massachusetts,White,82391
Census Tract 111; Barnstable County; Massachusetts,White,91801
Census Tract 112; Barnstable County; Massachusetts,White,68977
Census Tract 113; Barnstable County; Massachusetts,White,108889
Census Tract 114; Barnstable County; Massachusetts,White,85679
Census Tract 115; Barnstable County; Massachusetts,White,87574
Census Tract 116; Barnstable County; Massachusetts,White,51203
Census Tract 117; Barnstable County; Massachusetts,White,79219
Census Tract 118.01; Barnstable County; Massachusetts,White,103873
Census Tract 118.02; Barnstable County; Massachusetts,White,104620
Census Tract 120.01; Barnstable County; Massachusetts,White,76537
Census Tract 120.02; Barnstable County; Massachusetts,White,68895
Census Tract 121.01; Barnstable County; Massachusetts,White,79712
Census Tract 121.02; Barnstable County; Massachusetts,White,55321
Census Tract 122; Barnstable County; Massachusetts,White,120750
Census Tract 125.02; Barnstable County; Massachusetts,White,57578
Census Tract 126.01; Barnstable County; Massachusetts,White,68143
Census Tract 126.02; Barnstable County; Massachusetts,White,76919
Census Tract 127; Barnstable County; Massachusetts,White,117722
Census Tract 128; Barnstable County; Massachusetts,White,103693
Census Tract 129; Barnstable County; Massachusetts,White,105507
Census Tract 130.02; Barnstable County; Massachusetts,White,108056
Census Tract 131; Barnstable County; Massachusetts,White,113427
Census Tract 132; Barnstable County; Massachusetts,White,125964
Census Tract 133; Barnstable County; Massachusetts,White,96563
Census Tract 134; Barnstable County; Massachusetts,White,127614
Census Tract 135; Barnstable County; Massachusetts,White,141453
Census Tract 136; Barnstable County; Massachusetts,White,113346
Census Tract 137; Barnstable County; Massachusetts,White,88370
Census Tract 138; Barnstable County; Massachusetts,White,100152
Census Tract 139; Barnstable County; Massachusetts,White,85429
Census Tract 140.02; Barnstable County; Massachusetts,White,93098
Census Tract 141; Barnstable County; Massachusetts,White,49250
Census Tract 143; Barnstable County; Massachusetts,White,149583
Census Tract 144.02; Barnstable County; Massachusetts,White,99047
Census Tract 145; Barnstable County; Massachusetts,White,79809
Census Tract 146; Barnstable County; Massachusetts,White,93197
Census Tract 147; Barnstable County; Massachusetts,White,84848
Census Tract 148; Barnstable County; Massachusetts,White,50594
Census Tract 149; Barnstable County; Massachusetts,White,103750
Census Tract 150.01; Barnstable County; Massachusetts,White,86371
Census Tract 150.02; Barnstable County; Massachusetts,White,79174
Census Tract 151; Barnstable County; Massachusetts,White,85000
Census Tract 152; Barnstable County; Massachusetts,White,125772
Census Tract 153; Barnstable County; Massachusetts,White,42227
Census Tract 9001; Berkshire County; Massachusetts,White,28109
Census Tract 9002; Berkshire County; Massachusetts,White,45101
Census Tract 9003; Berkshire County; Massachusetts,White,75000
Census Tract 9004; Berkshire County; Massachusetts,White,73462
Census Tract 9005; Berkshire County; Massachusetts,White,103942
Census Tract 9006; Berkshire County; Massachusetts,White,38859
Census Tract 9007; Berkshire County; Massachusetts,White,83125
Census Tract 9008; Berkshire County; Massachusetts,White,96479
Census Tract 9009; Berkshire County; Massachusetts,White,80781
Census Tract 9011; Berkshire County; Massachusetts,White,47926
Census Tract 9111; Berkshire County; Massachusetts,White,87159
Census Tract 9121; Berkshire County; Massachusetts,White,76198
Census Tract 9131; Berkshire County; Massachusetts,White,76571
Census Tract 9141; Berkshire County; Massachusetts,White,74074
Census Tract 9201.01; Berkshire County; Massachusetts,White,103482
Census Tract 9201.02; Berkshire County; Massachusetts,White,95938
Census Tract 9213; Berkshire County; Massachusetts,White,42995
Census Tract 9214; Berkshire County; Massachusetts,White,49583
Census Tract 9215; Berkshire County; Massachusetts,White,54872
Census Tract 9221; Berkshire County; Massachusetts,White,51607
Census Tract 9222; Berkshire County; Massachusetts,White,48551
Census Tract 9223; Berkshire County; Massachusetts,White,65292
Census Tract 9231; Berkshire County; Massachusetts,White,72485
Census Tract 9241; Berkshire County; Massachusetts,White,74333
Census Tract 9251.01; Berkshire County; Massachusetts,White,84440
Census Tract 9251.02; Berkshire County; Massachusetts,White,64327
Census Tract 9261; Berkshire County; Massachusetts,White,87604
Census Tract 9311; Berkshire County; Massachusetts,White,72872
Census Tract 9313; Berkshire County; Massachusetts,White,71950
Census Tract 9314; Berkshire County; Massachusetts,White,98682
Census Tract 9322; Berkshire County; Massachusetts,White,79405
Census Tract 9323; Berkshire County; Massachusetts,White,70234
Census Tract 9332; Berkshire County; Massachusetts,White,135500
Census Tract 9333; Berkshire County; Massachusetts,White,75156
Census Tract 9334; Berkshire County; Massachusetts,White,94031
Census Tract 9342; Berkshire County; Massachusetts,White,90875
Census Tract 9343; Berkshire County; Massachusetts,White,93000
Census Tract 9351; Berkshire County; Massachusetts,White,89712
Census Tract 9352; Berkshire County; Massachusetts,White,84500
Census Tract 9353; Berkshire County; Massachusetts,White,49153
Census Tract 6001; Bristol County; Massachusetts,White,88300
Census Tract 6002.02; Bristol County; Massachusetts,White,100594
